"","PFA16NM","ethnicity","stops","arrests"
"220","Gloucestershire","None",544,561
"221","Gloucestershire","Other",20,322
"222","Gloucestershire","White",7017,16684
"223","Wiltshire","Asian",308,820
"224","Wiltshire","Black",488,1529
"225","Wiltshire","Mixed",183,912
"226","Wiltshire","None",536,1104
"227","Wiltshire","Other",3,204
"228","Wiltshire","White",6074,28149
"229","Dorset","Asian",286,518
"230","Dorset","Black",1150,1514
"231","Dorset","Mixed",348,572
"232","Dorset","None",2643,1282
"233","Dorset","Other",23,253
"234","Dorset","White",11536,27921
"235","North Wales","Asian",113,312
"236","North Wales","Black",69,482
"237","North Wales","Mixed",90,281
"238","North Wales","None",695,1703
"239","North Wales","Other",16,330
"240","North Wales","White",11827,47993
"241","Gwent","Asian",418,711
"242","Gwent","Black",233,572
"243","Gwent","Mixed",234,350
"244","Gwent","None",1713,599
"245","Gwent","Other",27,400
"246","Gwent","White",6379,23542
"247","South Wales","Asian",1677,2018
"248","South Wales","Black",1832,2716
"249","South Wales","Mixed",863,1462
"250","South Wales","None",5521,3956
"251","South Wales","Other",146,818
"252","South Wales","White",31912,83359
"253","Dyfed-Powys","Asian",153,194
"254","Dyfed-Powys","Black",96,223
"255","Dyfed-Powys","Mixed",118,137
"256","Dyfed-Powys","None",1437,160
"257","Dyfed-Powys","Other",1,48
"258","Dyfed-Powys","White",13183,18702
